"geneid_1","geneid_2","source"
64743,71036,"binary;metabolic"
45985,69867,"binary;metabolic"
50556,87727,"binary;metabolic"
18606,37593,"binary;metabolic"
11119,38531,"binary;metabolic"
52982,37787,"binary;metabolic"
44611,81835,"binary;metabolic"
74556,79701,"binary;metabolic"
23316,54910,"signaling;metabolic"
54109,55299,"signaling;metabolic"
16561,50015,"signaling;metabolic"
57149,10167,"signaling;metabolic"
14143,51197,"signaling;metabolic"
32975,22163,"signaling;metabolic"
51197,15288,"signaling;metabolic"
56455,66055,"signaling;metabolic"
82015,60307,"signaling;metabolic"
31770,25038,"signaling;metabolic"
12618,59585,"signaling;metabolic"
56915,76832,"signaling;metabolic"
67649,89514,"signaling;metabolic"
58709,73082,"signaling;metabolic"
37190,66941,"signaling;metabolic"
56267,12928,"signaling;metabolic"
38249,65887,"signaling;metabolic"
77024,35494,"signaling;metabolic"
55603,49993,"signaling;metabolic"
84717,10960,"signaling;metabolic"
81644,40642,"signaling;metabolic"
64282,66240,"signaling;metabolic"
77720,23647,"signaling;metabolic"
79689,59760,"signaling;metabolic"
72254,14143,"signaling;metabolic"
22266,86844,"signaling;metabolic"
15200,10182,"binary;signaling;complexes"
77222,89667,"binary;signaling;complexes"
25267,35080,"binary;signaling;complexes"
15608,26670,"binary;signaling;complexes"
15887,48123,"binary;signaling;complexes"
54519,88116,"binary;signaling;complexes"
82747,86836,"binary;signaling;complexes"
77380,73014,"binary;signaling;complexes"
52691,59766,"binary;signaling;complexes"
78484,16083,"binary;signaling;complexes"
79814,40301,"binary;signaling;complexes"
40676,83925,"binary;signaling;complexes"
34504,74378,"binary;signaling;complexes"
12770,68276,"binary;signaling;complexes"
69952,69816,"binary;signaling;complexes"
71036,81451,"binary;signaling;complexes"
26422,25571,"binary;signaling;complexes"
85893,53368,"binary;signaling;complexes"
83352,89997,"binary;signaling;complexes"
38380,21420,"binary;signaling;complexes"
35213,35907,"binary;signaling;complexes"
51395,37039,"binary;literature;signaling"
61881,20628,"binary;literature;signaling"
56795,57060,"binary;literature;signaling"
33689,21173,"binary;literature;signaling"
53182,58332,"binary;literature;signaling"
12175,35471,"binary;literature;signaling"
51364,36513,"binary;literature;signaling"
43527,85294,"binary;literature;signaling"
85707,16337,"binary;literature;signaling"
13627,24853,"binary;literature;signaling"
71835,31268,"binary;literature;signaling"
65526,64845,"binary;literature;signaling"
71723,44152,"binary;literature;signaling"
33927,81244,"binary;literature;signaling"
11923,88149,"binary;literature;signaling"
17527,71850,"binary;literature;signaling"
32208,12031,"binary;literature;signaling"
43272,72067,"binary;literature;signaling"
64070,86426,"binary;literature;signaling"
14871,48906,"complexes;literature;signaling"
32106,15032,"complexes;literature;signaling"
12694,78672,"complexes;literature;signaling"
50533,39327,"complexes;literature;signaling"
69082,28453,"complexes;literature;signaling"
15608,77117,"complexes;literature;signaling"
33587,16364,"complexes;literature;signaling"
70972,59309,"complexes;literature;signaling"
80512,50709,"complexes;literature;signaling"
60381,70725,"complexes;literature;signaling"
12963,17933,"complexes;literature;signaling"
85212,51395,"complexes;literature;signaling"
72254,40099,"complexes;literature;signaling"
19267,16561,"complexes;literature;signaling"
30928,36982,"complexes;literature;signaling"
13627,89643,"complexes;literature;signaling"
68004,42679,"complexes;literature;signaling"
70291,89643,"complexes;literature;signaling"
39405,34285,"complexes;literature;signaling"
31408,87576,"complexes;literature;signaling"
56150,88619,"complexes;literature;signaling"
10762,28740,"complexes;literature;signaling"
60190,35552,"complexes;literature;signaling;kinase"
87441,86343,"complexes;literature;signaling;kinase"
59043,37685,"complexes;literature;signaling;kinase"
25483,33149,"complexes;literature;signaling;kinase"
34936,33300,"complexes;literature;signaling;kinase"
46650,74731,"complexes;literature;signaling;kinase"
21242,23683,"complexes;literature;signaling;kinase"
73291,80039,"complexes;literature;signaling;kinase"
71867,71075,"complexes;literature;signaling;kinase"
29239,64791,"complexes;literature;signaling;kinase"
89059,22001,"complexes;literature;signaling;kinase"
43518,11971,"complexes;literature;signaling;kinase"
25241,45563,"complexes;literature;signaling;kinase"
83046,25019,"complexes;literature;signaling;kinase"
17394,49394,"complexes;literature;signaling;kinase"
14721,26201,"complexes;literature;signaling;kinase"
60670,56644,"complexes;literature;signaling;kinase"
85981,63037,"complexes;literature;signaling;kinase"
75721,22141,"complexes;literature;signaling;kinase"
84073,72026,"complexes;literature;signaling;kinase"
58548,54677,"complexes;literature;signaling;kinase"
29735,75383,"complexes;literature;signaling;kinase"
70080,20477,"complexes;literature;signaling;kinase"
52220,36591,"complexes;literature;signaling;kinase"
35012,40676,"complexes;literature;signaling;kinase"
54334,29715,"complexes;literature;signaling;kinase"
81845,85560,"complexes;literature;signaling;kinase"
32322,30349,"regulatory;binary;literature;signaling"
69951,85639,"regulatory;binary;literature;signaling"
71561,62524,"regulatory;binary;literature;signaling"
12148,48987,"regulatory;binary;literature;signaling"
51677,19252,"regulatory;binary;literature;signaling"
76822,29233,"regulatory;binary;literature;signaling"
32567,87952,"regulatory;binary;literature;signaling"
73755,81087,"regulatory;binary;literature;signaling"
48355,47874,"regulatory;binary;literature;signaling"
78416,63633,"regulatory;binary;literature;signaling"
57189,17094,"regulatory;binary;literature;signaling"
24705,32938,"regulatory;binary;literature;signaling"
26474,34305,"regulatory;binary;literature;signaling"
11294,10167,"regulatory;binary;literature;signaling"
43295,28719,"regulatory;binary;literature;signaling"
69658,80633,"regulatory;binary;literature;signaling"
81139,41801,"regulatory;binary;literature;signaling"
85047,43648,"regulatory;binary;literature;signaling"
75839,29196,"regulatory;binary;literature;signaling"
23516,88032,"regulatory;binary;literature;signaling"
13392,68066,"regulatory;binary;literature;signaling"
19249,29793,"regulatory;binary;literature;signaling"
66298,60432,"regulatory;binary;literature;signaling"
27954,78894,"regulatory;binary;literature;signaling"
68753,48716,"regulatory;binary;literature;signaling"
73186,74158,"regulatory;binary;literature;signaling"
60440,54376,"regulatory;binary;literature;signaling"
28938,40798,"regulatory;binary;literature;signaling"
74349,48668,"regulatory;binary;literature;signaling"
17733,20512,"regulatory;binary;literature;signaling"
53709,21244,"complexes;literature;binary"
35602,37819,"complexes;literature;binary"
87727,59375,"complexes;literature;binary"
11286,67678,"complexes;literature;binary"
55910,79904,"complexes;literature;binary"
63711,45212,"complexes;literature;binary"
39183,70440,"complexes;literature;binary"
83138,35777,"complexes;literature;binary"
49579,25768,"complexes;literature;binary"
11845,37145,"complexes;literature;binary"
61919,22958,"complexes;literature;binary"
30471,59174,"complexes;literature;binary"
74465,70291,"complexes;literature;binary"
26578,66978,"complexes;literature;binary"
45532,31213,"complexes;literature;binary"
43558,73801,"complexes;literature;binary"
13825,57314,"complexes;literature;binary"
19166,22132,"complexes;literature;binary"
12618,69405,"complexes;literature;binary"
12590,33445,"complexes;literature;binary"
25492,23127,"complexes;literature;binary"
67327,25091,"complexes;literature;binary"
68256,25687,"complexes;literature;binary"
20449,86885,"complexes;literature;binary"
29735,50216,"complexes;literature;binary"
83320,22737,"regulatory;binary;literature"
22425,80083,"regulatory;binary;literature"
38970,32560,"regulatory;binary;literature"
59188,28737,"regulatory;binary;literature"
80038,60665,"regulatory;binary;literature"
27232,48250,"regulatory;binary;literature"
48272,32622,"regulatory;binary;literature"
72273,37716,"regulatory;binary;literature"
86292,70131,"regulatory;binary;literature"
28743,88242,"regulatory;binary;literature"
57087,37065,"regulatory;binary;literature"
34407,75176,"regulatory;binary;literature"
10023,58332,"regulatory;binary;literature"
52668,74820,"regulatory;binary;literature"
52917,44874,"regulatory;binary;literature"
20748,51951,"regulatory;binary;literature"
33868,76903,"regulatory;binary;literature"
22628,47439,"regulatory;literature;kinase"
66003,68874,"regulatory;literature;kinase"
53949,21071,"regulatory;literature;kinase"
86556,12145,"regulatory;literature;kinase"
32208,72056,"regulatory;literature;kinase"
77287,61288,"regulatory;literature;kinase"
40457,65063,"regulatory;literature;kinase"
28924,11682,"regulatory;literature;kinase"
25631,74349,"regulatory;literature;kinase"
65166,80411,"regulatory;literature;kinase"
41391,59977,"regulatory;literature;kinase"
52263,37716,"regulatory;literature;kinase"
70080,69860,"regulatory;literature;kinase"
63573,22879,"regulatory;literature;kinase"
46965,47736,"regulatory;literature;kinase"
63711,37316,"regulatory;literature;kinase"
34170,81587,"regulatory;literature;kinase"
61674,27469,"regulatory;literature;kinase"
35056,78989,"regulatory;literature;kinase"
89059,37336,"regulatory;literature;kinase"
68322,16285,"regulatory;literature;kinase"
58332,82924,"regulatory;literature;kinase"
30648,21325,"regulatory;literature;kinase"
20637,86010,"literature;metabolic"
18586,11454,"literature;metabolic"
32071,73606,"literature;metabolic"
86505,86304,"literature;metabolic"
22591,51909,"literature;metabolic"
50248,14197,"literature;metabolic"
46283,56982,"literature;metabolic"
42926,54805,"literature;metabolic"
78692,10167,"literature;metabolic"
49297,38683,"literature;metabolic"
36653,63577,"literature;metabolic"
85879,71640,"literature;metabolic"
50020,24260,"literature;metabolic"
20788,77948,"literature;metabolic"
75580,82565,"literature;metabolic"
74101,24364,"literature;metabolic"
87528,13742,"literature;metabolic"
89555,52509,"literature;metabolic"
26320,68927,"literature;metabolic"
89643,37063,"literature;metabolic"
22831,62946,"literature;metabolic"
28758,51236,"literature;metabolic"
36770,81992,"literature;metabolic"
66573,35057,"binary;literature;signaling;complexes"
45071,30462,"binary;literature;signaling;complexes"
50295,84270,"binary;literature;signaling;complexes"
68890,19328,"binary;literature;signaling;complexes"
57028,77080,"binary;literature;signaling;complexes"
37685,56190,"binary;literature;signaling;complexes"
37537,13230,"binary;literature;signaling;complexes"
88870,78858,"binary;literature;signaling;complexes"
24853,76097,"binary;literature;signaling;complexes"
79946,86628,"binary;literature;signaling;complexes"
44884,55928,"binary;literature;signaling;complexes"
14719,47680,"binary;literature;signaling;complexes"
64330,13424,"binary;literature;signaling;complexes"
24868,29102,"binary;literature;signaling;complexes"
78882,77994,"binary;literature;signaling;complexes"
24853,21848,"binary;literature;signaling;complexes"
67553,44254,"binary;literature;signaling;complexes"
39728,46629,"binary;literature;signaling;complexes"
89422,41263,"binary;literature;signaling;complexes"
34228,53242,"complexes"
55217,40576,"complexes"
77606,17670,"complexes"
25692,51350,"complexes"
70761,64664,"complexes"
64796,42850,"complexes"
33058,28048,"complexes"
24900,60888,"complexes"
77286,53117,"complexes"
83352,33810,"complexes"
47868,69152,"complexes"
50020,64849,"complexes"
74582,81386,"complexes"
58599,45076,"complexes"
65285,65415,"complexes"
60482,21848,"complexes"
59482,89100,"complexes"
65158,88119,"complexes"
80494,79855,"complexes"
11422,43773,"complexes"
71640,59652,"complexes"
76459,81864,"complexes"
44209,21420,"literature"
16742,38753,"literature"
84493,59379,"literature"
60875,45705,"literature"
72894,74303,"literature"
77060,86430,"literature"
11399,15824,"literature"
22047,62789,"literature"
45851,22261,"literature"
81087,60108,"literature"
30450,59043,"literature"
75135,80302,"literature"
89948,62718,"literature"
39124,63037,"literature"
30611,52808,"literature"
14350,70440,"literature"
64365,32910,"literature"
50027,85566,"literature"
32446,14690,"literature"
84756,55259,"literature"
49834,40296,"literature"
55859,86150,"literature"
72040,29320,"literature"
56389,55917,"binary;signaling"
39974,63201,"binary;signaling"
26029,47302,"binary;signaling"
37130,76434,"binary;signaling"
49052,52132,"binary;signaling"
71604,45454,"binary;signaling"
53020,36379,"binary;signaling"
31850,29171,"binary;signaling"
70694,60745,"binary;signaling"
68141,40670,"binary;signaling"
64654,78929,"binary;signaling"
31632,30471,"binary;signaling"
46907,88084,"binary;signaling"
58346,68164,"binary;signaling"
69843,24777,"binary;signaling"
72166,86426,"binary;signaling"
24817,38244,"binary;signaling"
80302,30618,"binary;signaling"
87584,41587,"binary;signaling"
68927,21823,"binary;signaling"
29735,36053,"binary;signaling"
55360,54372,"complexes;literature;signaling;binary"
67907,71063,"complexes;literature;signaling;binary"
42935,52726,"complexes;literature;signaling;binary"
66265,17377,"complexes;literature;signaling;binary"
29545,61121,"complexes;literature;signaling;binary"
47110,59251,"complexes;literature;signaling;binary"
57727,22059,"complexes;literature;signaling;binary"
70698,26702,"complexes;literature;signaling;binary"
74495,31938,"complexes;literature;signaling;binary"
85735,24407,"complexes;literature;signaling;binary"
16696,68141,"complexes;literature;signaling;binary"
61427,21239,"signaling;kinase"
39783,35907,"signaling;kinase"
53709,76884,"signaling;kinase"
42944,42671,"signaling;kinase"
22141,63554,"signaling;kinase"
85767,48431,"signaling;kinase"
44592,54910,"signaling;kinase"
43597,59722,"signaling;kinase"
51640,13281,"signaling;kinase"
15908,60498,"signaling;kinase"
10907,88119,"signaling;kinase"
74826,17704,"signaling;kinase"
10368,33515,"signaling;kinase"
62262,32246,"signaling;kinase"
29793,63577,"signaling;kinase"
64289,43281,"signaling;kinase"
27948,49502,"signaling;kinase"
83901,45870,"signaling;kinase"
14690,76097,"signaling;kinase"
51564,64763,"signaling;kinase"
23346,26658,"signaling;kinase"
58699,67678,"signaling;kinase"
78816,41844,"signaling;kinase"
34305,70002,"signaling;kinase"
34797,80230,"signaling;kinase"
40296,54471,"signaling;kinase"
81123,70220,"signaling;kinase"
85974,24742,"kinase"
31113,68912,"kinase"
29039,58040,"kinase"
43021,25832,"kinase"
11005,73851,"kinase"
89670,77948,"kinase"
69922,54677,"kinase"
27621,30618,"kinase"
77885,51554,"kinase"
43013,16262,"kinase"
87232,68159,"kinase"
58038,27091,"kinase"
41887,22958,"kinase"
39846,15117,"regulatory;literature;signaling"
35664,82466,"regulatory;literature;signaling"
31556,35897,"regulatory;literature;signaling"
13424,49424,"regulatory;literature;signaling"
85230,51020,"regulatory;literature;signaling"
50137,60937,"regulatory;literature;signaling"
84369,24777,"regulatory;literature;signaling"
34305,12229,"regulatory;literature;signaling"
28475,72806,"regulatory;literature;signaling"
23614,79946,"regulatory;literature;signaling"
71036,33499,"regulatory;literature;signaling"
64591,88276,"regulatory;literature;signaling"
81878,77719,"regulatory;literature;signaling"
65093,17703,"regulatory;literature;signaling"
78748,47900,"regulatory;literature;signaling"
81224,60018,"regulatory;literature;signaling"
88915,86343,"regulatory;literature;signaling"
45983,85893,"regulatory;literature;signaling"
33538,48177,"regulatory;literature;signaling"
14950,22867,"regulatory;literature;signaling"
26562,54279,"regulatory;literature;signaling"
27665,24486,"regulatory;literature;signaling"
48184,41341,"complexes;literature"
49834,59467,"complexes;literature"
34155,73301,"complexes;literature"
73919,45608,"complexes;literature"
71369,50962,"complexes;literature"
11923,64136,"complexes;literature"
16327,71166,"complexes;literature"
87584,77951,"complexes;literature"
89262,54633,"complexes;literature"
35716,41729,"complexes;literature"
44535,55940,"complexes;literature"
76297,72178,"complexes;literature"
56097,29878,"complexes;literature"
84672,65704,"complexes;literature"
62674,87360,"complexes;literature"
28794,66301,"complexes;literature"
24053,69031,"complexes;literature"
59375,33445,"complexes;literature"
89602,15346,"complexes;literature"
56466,55185,"complexes;literature"
29616,55805,"complexes;literature"
48844,38724,"complexes;literature"
37832,80885,"binary;literature;signaling;kinase"
77038,36838,"binary;literature;signaling;kinase"
76491,86600,"binary;literature;signaling;kinase"
28326,56562,"binary;literature;signaling;kinase"
65166,45884,"binary;literature;signaling;kinase"
52691,84049,"binary;literature;signaling;kinase"
33300,17493,"binary;literature;signaling;kinase"
58325,14528,"binary;literature;signaling;kinase"
45962,60381,"binary;literature;signaling;kinase"
31851,78353,"binary;literature;signaling;kinase"
19070,60887,"binary;literature;signaling;kinase"
17231,34681,"binary;literature;signaling;kinase"
68066,60482,"binary;literature;signaling;kinase"
15744,71384,"binary;literature;signaling;kinase"
41801,62393,"binary;literature;signaling;kinase"
11294,70990,"binary;literature;signaling;kinase"
74743,61202,"binary;literature;signaling;kinase"
75185,81282,"binary;complexes"
56865,71543,"binary;complexes"
57714,71748,"binary;complexes"
51027,15958,"binary;complexes"
51071,29024,"binary;complexes"
56377,58599,"binary;complexes"
31405,49090,"binary;complexes"
81211,83884,"binary;complexes"
88721,23346,"binary;complexes"
31509,45256,"binary;complexes"
82232,80383,"binary;complexes"
37065,46183,"binary;complexes"
55359,50097,"binary;complexes"
85667,45129,"binary;complexes"
81895,79318,"binary;complexes"
52860,45677,"binary;complexes"
44524,56305,"binary;complexes"
78402,54388,"binary;complexes"
19936,85318,"binary;complexes"
71823,24763,"binary;complexes"
80770,14315,"binary;complexes"
78416,16827,"binary;complexes"
28475,29039,"binary;complexes"
71587,29696,"binary;complexes"
45162,73671,"binary;complexes"
59187,57088,"binary;complexes"
72376,14843,"binary;complexes"
27600,85029,"literature;signaling;kinase"
85723,53808,"literature;signaling;kinase"
25788,17091,"literature;signaling;kinase"
71807,64654,"literature;signaling;kinase"
24036,19893,"literature;signaling;kinase"
85294,37077,"literature;signaling;kinase"
76007,29634,"literature;signaling;kinase"
14442,85511,"literature;signaling;kinase"
27806,16215,"literature;signaling;kinase"
11790,20718,"literature;signaling;kinase"
20634,34478,"literature;signaling;kinase"
32446,43527,"literature;signaling;kinase"
39627,84672,"literature;signaling;kinase"
51491,34900,"literature;signaling;kinase"
83352,55627,"literature;signaling;kinase"
14388,24189,"literature;signaling;kinase"
28659,53439,"literature;signaling;kinase"
28248,20601,"literature;signaling;kinase"
57418,39124,"literature;signaling;kinase"
38078,23731,"kinase;complexes;literature;signaling;binary"
81650,41583,"kinase;complexes;literature;signaling;binary"
56075,63201,"kinase;complexes;literature;signaling;binary"
54016,74073,"kinase;complexes;literature;signaling;binary"
50015,66064,"kinase;complexes;literature;signaling;binary"
31926,76870,"kinase;complexes;literature;signaling;binary"
64700,43597,"kinase;complexes;literature;signaling;binary"
31800,74218,"kinase;complexes;literature;signaling;binary"
53115,27333,"kinase;complexes;literature;signaling;binary"
75162,28322,"kinase;complexes;literature;signaling;binary"
22591,37913,"kinase;complexes;literature;signaling;binary"
17733,79904,"kinase;complexes;literature;signaling;binary"
23601,34830,"kinase;complexes;literature;signaling;binary"
83399,63333,"complexes;kinase"
85948,65831,"complexes;kinase"
76198,22132,"complexes;kinase"
71990,75304,"complexes;kinase"
16184,38970,"complexes;kinase"
74661,64330,"complexes;kinase"
68950,59251,"complexes;kinase"
60432,59515,"complexes;kinase"
54519,16195,"complexes;kinase"
68314,41550,"complexes;kinase"
82015,81545,"complexes;kinase"
82295,57029,"complexes;kinase"
37347,48439,"complexes;kinase"
12063,19249,"complexes;kinase"
51437,24705,"complexes;kinase"
62388,16205,"complexes;kinase"
46322,64493,"complexes;kinase"
34830,53006,"complexes;kinase"
63602,21387,"regulatory"
44331,30762,"regulatory"
23285,17667,"regulatory"
63475,31181,"regulatory"
89338,64775,"regulatory"
51335,75721,"regulatory"
50417,81073,"regulatory"
36804,11980,"regulatory"
87520,62432,"regulatory"
12573,70761,"regulatory"
27013,11923,"regulatory"
58346,48716,"regulatory"
56665,22362,"regulatory"
89382,79738,"regulatory"
72166,43244,"regulatory"
72919,25068,"regulatory"
41524,35943,"regulatory;complexes;literature;signaling;binary"
22879,76190,"regulatory;complexes;literature;signaling;binary"
72514,86840,"regulatory;complexes;literature;signaling;binary"
40921,41646,"regulatory;complexes;literature;signaling;binary"
13660,21071,"regulatory;complexes;literature;signaling;binary"
48641,67312,"regulatory;complexes;literature;signaling;binary"
43313,31897,"regulatory;complexes;literature;signaling;binary"
53239,53206,"regulatory;complexes;literature;signaling;binary"
58779,69455,"regulatory;complexes;literature;signaling;binary"
47110,82978,"regulatory;complexes;literature;signaling;binary"
79533,53103,"regulatory;complexes;literature;signaling;binary"
60313,19009,"regulatory;complexes;literature;signaling;binary"
44399,79557,"regulatory;complexes;literature;signaling;binary"
20283,49366,"regulatory;complexes;literature;signaling;binary"
58682,81992,"regulatory;complexes;literature;signaling;binary"
57230,18606,"regulatory;complexes;literature;signaling;binary"
53259,52180,"regulatory;complexes;literature;signaling;binary"
12145,74655,"regulatory;complexes;literature;signaling;binary"
67258,62430,"regulatory;complexes;literature;signaling;binary"
84742,71587,"binary"
67543,26606,"binary"
29545,54284,"binary"
84069,67901,"binary"
30521,37380,"binary"
64372,27908,"binary"
62348,79105,"binary"
68675,80097,"binary"
16118,17493,"binary"
58332,47994,"binary"
48225,28308,"binary"
32464,56820,"binary"
20156,68802,"binary"
17232,70764,"binary"
37451,20814,"binary"
55217,54409,"binary"
49382,71855,"complexes;literature;signaling;metabolic"
12384,83515,"complexes;literature;signaling;metabolic"
85560,39858,"complexes;literature;signaling;metabolic"
66107,29516,"complexes;literature;signaling;metabolic"
21442,23568,"complexes;literature;signaling;metabolic"
22589,63031,"complexes;literature;signaling;metabolic"
45759,64882,"complexes;literature;signaling;metabolic"
42458,33993,"complexes;literature;signaling;metabolic"
22592,36477,"complexes;literature;signaling;metabolic"
60394,88481,"complexes;literature;signaling;metabolic"
73658,45212,"complexes;literature;signaling;metabolic"
80580,31219,"complexes;literature;signaling;metabolic"
77720,45103,"complexes;literature;signaling;metabolic"
12383,72958,"complexes;literature;signaling;metabolic"
49073,44923,"complexes;literature;signaling;metabolic"
71807,47513,"complexes;literature;signaling;metabolic"
75304,44956,"complexes;literature;signaling;metabolic"
65571,58227,"complexes;literature;signaling;metabolic"
60479,46392,"binary;literature;kinase;signaling"
84756,20477,"binary;literature;kinase;signaling"
88807,38236,"binary;literature;kinase;signaling"
71991,46767,"binary;literature;kinase;signaling"
81622,20637,"binary;literature;kinase;signaling"
75721,10418,"binary;literature;kinase;signaling"
58240,79273,"binary;literature;kinase;signaling"
15828,38724,"binary;literature;kinase;signaling"
87573,18244,"binary;literature;kinase;signaling"
83320,20378,"binary;literature;kinase;signaling"
34601,79074,"binary;literature;kinase;signaling"
30408,15024,"binary;literature;kinase;signaling"
29353,26012,"binary;literature;kinase;signaling"
23062,72354,"binary;literature;kinase;signaling"
78652,60245,"binary;literature;kinase;signaling"
50025,21476,"binary;literature;kinase;signaling"
17377,28358,"binary;literature;kinase;signaling"
89204,61184,"binary;literature;kinase;signaling"
54610,13215,"complexes;metabolic"
32054,36513,"complexes;metabolic"
33445,24036,"complexes;metabolic"
82153,80769,"complexes;metabolic"
14262,77754,"complexes;metabolic"
41066,65415,"complexes;metabolic"
45170,75361,"complexes;metabolic"
48668,28851,"complexes;metabolic"
73291,77060,"complexes;metabolic"
20477,65886,"complexes;metabolic"
16985,79269,"complexes;metabolic"
49273,16932,"complexes;metabolic"
44028,89326,"complexes;metabolic"
64024,27930,"complexes;metabolic"
12694,25778,"complexes;metabolic"
84049,16196,"complexes;metabolic"
36578,19009,"complexes;metabolic"
16561,72026,"complexes;metabolic"
14143,26435,"complexes;metabolic"
33385,69297,"complexes;metabolic"
39728,28029,"complexes;metabolic"
39825,88116,"complexes;metabolic"
31004,36611,"complexes;metabolic"
45553,57230,"complexes;signaling"
29838,45222,"complexes;signaling"
68586,34453,"complexes;signaling"
73186,70803,"complexes;signaling"
24601,16738,"complexes;signaling"
20993,28737,"complexes;signaling"
10368,22561,"complexes;signaling"
74194,34478,"complexes;signaling"
84658,10418,"complexes;signaling"
37428,23296,"complexes;signaling"
61021,15699,"complexes;signaling"
80065,50015,"complexes;signaling"
68753,67755,"complexes;signaling"
